listings code,lookup name,index name
SN.,SMITH AND NEPHEW,SMITH & NEPHEW PLC
SMDS,SMITH (DS),SMITHS GROUP PLC
SMIN,SMITHS GROUP,SMITHSON INVESTMENT TRUST PLC
SNWS,SMITHS GROUP,SMITHSON INVESTMENT TRUST PLC
SSON,SMITHSON INVESTMENT TRUST,SMURFIT KAPPA GROUP PLC
SKG,SMURFIT KAPPA GROUP,SOCIETATEA ENERGETICA ELECTRICA SA
ELSA,SOCIETATEA ENERGETICA ELECTRICA SA,"SOCIETATEA NATIONALA DE GAZE NATURALE ""ROMGAZ"" S.A."
51FL,SOCIETATEA ENERGETICA ELECTRICA SA,"SOCIETATEA NATIONALA DE GAZE NATURALE ""ROMGAZ"" S.A."
SNG1,"SOCIETATEA NATIONALA DE GAZE NATURALE ""ROMGAZ"" S.A.",SOFTCAT PLC
SNGR,"SOCIETATEA NATIONALA DE GAZE NATURALE ""ROMGAZ"" S.A.",SOFTCAT PLC
SCT,SOFTCAT,SOLGOLD PLC
SOLG,SOLGOLD,SOLID STATE PLC
SOLI,SOLID STATE,SOLO OIL PLC
SOM,SOMERO ENTERPRISE INCOME,SOPHEON PLC
SPE,SOPHEON,SOSANDAR PLC
SOS,SOSANDAR,SOUND ENERGY PLC
SOU,SOUND ENERGY,SOUTH32 LIMITED
SBI,SOURCEBIO INTERNATIONAL,#N/A
S32,SOUTH32 LIMITED,SPACEANDPEOPLE PLC
SAL,SPACEANDPEOPLE,SPECTRA SYSTEMS CORPORATION
SPSC,SPECTRA SYSTEMS CORPORATION,SPECTRIS PLC
SPSY,SPECTRA SYSTEMS CORPORATION,SPECTRIS PLC
SXS,SPECTRIS,SPEEDY HIRE PLC
SDY,SPEEDY HIRE,SPINNAKER OPPORTUNITIES PLC
SOP,SPINNAKER OPPORTUNITIES,SPIRAX-SARCO ENGINEERING PLC
SPX,SPIRAX-SARCO ENGINEERING,SPIRE HEALTHCARE GROUP PLC
SPI,SPIRE HEALTHCARE GROUP,SPIRENT COMMUNICATIONS PLC
SPT,SPIRENT COMMUNICATIONS,SPORTECH PLC
SPO,SPORTECH,SPRINGFIELD PROPERTIES PLC
SPR,SPRINGFIELD PROPERTIES,SRT MARINE SYSTEMS PLC
SRT,SRT MARINE SYSTEMS,SSE PLC
SSE,SSE,SSP GROUP PLC
SSPG,SSP GROUP,STAFFLINE GROUP PLC
SJH,ST JAMES HOUSE,STAGECOACH GROUP PLC
SPPC,ST PETER PORT CAPITAL LIMITED,STANDARD CHARTERED PLC
STJ,ST. JAMES'S PLACE,STANDARD LIFE ABERDEEN PLC
SMP,ST.MODWEN PROPERTIES,STANDARD LIFE INVESTMENTS PROPERTY INCOME TRUST LD
STAF,STAFFLINE GROUP,STANDARD LIFE PRIVATE EQUITY TRUST PLC
SGC,STAGECOACH GROUP,STANDARD LIFE UK SMALLER COMPANIES TRUST PLC
STAN,STANDARD CHARTERED,STANLEY GIBBONS GROUP PLC
SLA,STANDARD LIFE ABERDEEN,STARCOM PLC
SLI,STANDARD LIFE INVESTMENTS PROPERTY INCOME TRUST LIMITED,STARCREST EDUCATION THE BELT & ROAD LIMITED
SLPE,STANDARD LIFE PRIVATE EQUITY TRUST,STAR PHOENIX GROUP LTD
SLS,STANDARD LIFE UK SMALLER COMPANIES TRUST,STARVEST PLC
SGI,STANLEY GIBBONS GROUP,STARWOOD EUROPEAN REAL ESTATE FINANCE LIMITED
STA,STAR PHOENIX GROUP LIMITED,STATE BANK OF INDIA
STAR,STARCOM,STEEL AUTHORITY OF INDIA LD
OBOR,STARCREST EDUCATION THE BELT AND ROAD LIMITED,STENPROP LIMITED
SVE,STARVEST,STEPPE CEMENT LTD
SWEF,STARWOOD EUROPEAN REAL ESTATE FINANCE LIMITED,STERLING ENERGY PLC
SBID,STATE BANK OF INDIA,STHREE PLC
SBIA,STATE BANK OF INDIA,STHREE PLC
SAUA,STEEL AUTHORITY OF INDIA LIMITED,STILFONTEIN GOLD MINING CO LD
SAUD,STEEL AUTHORITY OF INDIA LIMITED,STILFONTEIN GOLD MINING CO LD
STP,STENPROP LIMITED,ST JAMES HOUSE PLC
STCM,STEPPE CEMENT LIMITED,ST. JAMES'S PLACE PLC
SEY,STERLING ENERGY,STM GROUP PLC
STEM,STHREE,ST.MODWEN PROPERTIES PLC
STIL,STILFONTEIN GOLD MINING CO LIMITED,STOBART GROUP LD
STM,STM GROUP,STOCK SPIRITS GROUP PLC
STOB,STOBART GROUP LIMITED,ST PETER PORT CAPITAL LIMITED
STCK,STOCK SPIRITS GROUP,STRANGER HOLDINGS PLC
STHP,STRANGER HOLDING,STRATEGIC EQUITY CAPITAL PLC
SEC,STRATEGIC EQUITY CAPITAL,STRATEGIC MINERALS PLC
SML,STRATEGIC MINERALS,STRIX GROUP PLC
KETL,STRIX GROUP,STUDIO RETAIL GROUP PLC
STU,STUDIO RETAIL GROUP,STV GROUP PLC
STVG,STV GROUP,SUBEX LIMITED
SBXA,SUBEX LIMITED,SUMMERWAY CAPITAL PLC
SUBX,SUBEX LIMITED,SUMMERWAY CAPITAL PLC
SWC,SUMMERWAY CAPITAL,SUMO GROUP PLC
SUMO,SUMO GROUP,SUNPLUS TECHNOLOGY CO LD
SUPA,SUNPLUS TECHNOLOGY CO LIMITED,SUNRISE RESOURCES PLC
SUPD,SUNPLUS TECHNOLOGY CO LIMITED,SUNRISE RESOURCES PLC
SRES,SUNRISE RESOURCES,SUPERDRY PLC
SDRY,SUPERDRY,SUPERMARKET INCOME REIT PLC
SUPR,SUPERMARKET INCOME REIT,S & U PLC
SYME,SUPPLY@ME CAPITAL,SUPPLY@ME CAPITAL PLC
SURE,SURE VENTURES,SURESERVE GROUP PLC
SUR,SURESERVE GROUP,SURE VENTURES PLC
SCE,SURFACE TRANSFORMS,SURFACE TRANSFORMS PLC
SUN,SURGICAL INNOVATIONS GROUP,SURGICAL INNOVATIONS GROUP PLC
SGGD,SURGUTNEFTEGAS PUBLIC JOINT STOCK COMPANY,SURGUTNEFTEGAS PUBLIC JOINT STOCK COMPANY
SUH,SUTTON HARBOUR GROUP,SUTTON HARBOUR GROUP PLC
SVM,SVM UK EMERGING FUND,SVM UK EMERGING FUND PLC
